x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,x_69,x_70,x_71,x_72,x_73,x_74,x_75,x_76,x_77,x_78,x_79,x_80,x_81,x_82,x_83,x_84,x_85,x_86,x_87,x_88,x_89,x_90,x_91,x_92,x_93,x_94,x_95,x_96,x_97,x_98,x_99,x_100,x_101,x_102,x_103,x_104,x_105,x_106,x_107,x_108,x_109,x_110,x_111,x_112,x_113,x_114,x_115,x_116,x_117,x_118,x_119,x_120,x_121,x_122,x_123,x_124,x_125,x_126,x_127
-0.122398615,0.18718693,-0.31018636,0.14912324,-0.091191314,-0.08936408,-0.042429265,0.12355607,0.013765298,-0.19868475,0.14828913,0.039616514,0.06065568,-0.10503716,-0.3328052,-0.2316335,-0.13792673,-0.17258286,-0.040502597,-0.21685277,-0.103663586,-0.124110386,-0.17391756,0.0016201385,0.072592616,-0.014213629,0.009628386,-0.08822964,0.12821619,0.17269528,0.06146167,-0.064532645,0.117931046,-0.04195906,0.22773664,-0.11988243,0.018490175,-0.025785364,-0.14995484,-0.0731887,-0.17537224,0.29203165,-0.0154759735,-0.04723646,-0.37684262,0.21367487,0.009239091,0.032913335,0.2944271,-0.08948247,-0.16513847,0.08520421,-0.15468696,0.08011716,-0.10378881,-0.115837716,0.0716372,0.161679,-0.059394903,-0.13995746,0.0428934,0.079140805,-0.10204004,0.00047826616,0.019807847,0.19698915,0.33710605,-0.02808354,0.20979962,-0.03990621,0.32589906,-0.121718615,-0.01940209,-0.11564226,0.25353464,0.13853092,-0.016367769,-0.023300909,-0.031982496,0.11096162,-0.5314227,-0.18926078,0.1300399,-0.04466286,-0.056618735,0.30572125,0.07287617,-0.021682156,-0.022776594,0.16114162,-0.03272184,0.18930437,0.06748571,-0.23250487,0.087911956,-0.29107097,-0.07683116,0.1649236,-0.009138657,0.25829852,-0.10267542,-0.031223385,-0.13566794,-0.025622604,-0.22581907,-0.021508986,-0.23190331,6.199449e-06,0.17257543,-0.34590885,-0.3794414,-0.032645237,0.47919708,-0.11275401,0.3470067,-0.02435561,-0.2902886,-0.2263545,-0.17142141,0.19954698,-0.03270641,-0.21209933,0.04758929,-0.042626075,-0.1989594,0.14206143,0.031852067,0.2101707
0.122244984,-0.083569266,-0.28906408,0.24555527,-0.15397663,-0.048194896,0.053973045,0.20838542,-0.0999307,0.01050305,-0.12941481,0.30969054,-0.05380881,-0.058564555,-0.10211677,0.1304253,-0.11719505,0.041305527,0.23252104,-0.1901108,-0.1355121,-0.36902606,-0.06649941,0.08577869,0.09035345,-0.15791087,-0.047480725,0.032941993,0.061489996,0.09743137,0.11203193,-0.15845193,-0.08942951,0.10926277,0.15649821,-0.10899637,0.06806208,-0.16852523,-0.13697284,-0.0905803,0.032766383,0.16558993,0.07501313,0.37101573,-0.43928882,-0.08150077,-0.065824874,-0.023002863,0.4752397,0.062396005,-0.33857518,0.12205714,-0.17189072,0.10548508,-0.19764264,-0.091526136,-0.06533408,0.14944316,0.028516633,-0.034285493,-0.025158895,0.10373567,-0.08043954,-0.062876575,-0.069292195,0.32193923,0.40291288,-0.09894973,0.06593901,-0.2895264,0.11435425,0.054630034,0.108459726,-0.018297374,0.05081863,0.026084322,0.06256537,0.03569486,-0.10019995,0.08260082,-0.64717114,0.01821695,0.05713605,-0.006571592,0.040731527,0.5715107,0.09485096,-0.051577345,0.15591857,0.2628897,0.036635246,-0.10677733,-0.17730199,-0.4094468,0.16507709,-0.22429794,-0.16003361,0.025836831,-0.07114641,0.10791123,-0.009233859,-0.13655202,-0.1846885,-0.0027390225,-0.034569576,0.10786715,-0.28043082,0.22874698,0.27253798,-0.093183085,-0.48377413,-0.15891331,0.4531673,-0.17855828,0.2835364,0.0050964276,-0.2463338,-0.33481562,0.012481811,0.17847495,-0.0482505,0.040277198,0.09165159,-0.03230067,0.12085169,-0.02502191,-0.11081887,0.14733322
-0.061990984,-0.008823214,0.20230378,-0.015704146,0.069106415,0.14967652,-0.043243088,0.019957423,0.02151736,-0.15256645,0.07791926,-0.19903474,0.17542495,-0.23128149,-0.028376078,0.38873786,0.4187308,-0.18168367,-0.06715247,-0.10835306,0.1726565,0.31449115,0.21289988,-0.23174903,0.0013770553,-0.03937502,0.030811539,-0.02792662,0.07829679,0.021542404,0.14048174,0.14782858,-0.06348809,-0.03265797,0.117148645,-0.044537146,-0.074142225,0.27397722,-0.098863155,-0.030305568,-0.07301736,-0.2296277,-0.04256746,-0.015173634,0.18852258,0.026147436,0.12151589,0.048837442,-0.26876533,-0.008376328,0.2465895,-0.15502805,0.16608346,-0.03197725,-0.09990702,0.12558995,-0.04480491,-0.16971985,-0.12022748,0.2651573,-0.12890765,-0.1427896,0.23212463,0.15781984,-0.15159841,-0.08708386,-0.34570637,-0.2740931,-0.120069265,0.30785805,-0.14896257,0.03253319,-0.01888839,0.0037084972,0.0092546055,-0.09661101,0.02197134,-0.053649865,0.11017865,-0.10038789,0.6626188,-0.10246746,-0.011303377,-0.076226674,-0.2505017,-0.14967473,-0.26008672,0.3051032,-0.08931684,-0.3105844,0.11541565,0.05369215,0.023377012,0.3319876,0.12129886,0.22469787,0.09669419,0.053050596,-0.124492,-0.024303256,0.04354952,-0.10859143,0.06505715,0.10024726,0.08615713,-0.07323167,0.2777905,-0.124194644,-0.33975127,-0.0009763028,0.40400457,0.02182057,-0.36368057,0.22939703,-0.14330374,0.23544067,-0.14123717,0.28800476,-0.061614323,0.1639421,-0.13640597,0.22388141,0.082559496,0.32727715,0.20604782,-0.038391713,-0.085291296,-0.16069734
0.045318123,0.112902865,-0.672192,-0.065582216,-0.105345726,0.36975458,-0.11560861,-0.09460898,0.041818734,-0.028156199,0.008782052,-0.19447088,-0.20037699,0.65453553,0.025084553,-0.1301987,-0.9459085,-0.047809727,0.067311786,0.34789112,0.3448696,0.27670962,0.23706421,0.09425167,-0.07117736,0.8337669,0.32893074,0.15557942,0.17812446,-0.31878906,0.028548019,0.13107605,0.038877413,-0.09011736,-0.47667196,0.07227699,0.30776584,0.26664636,0.96332777,0.24184129,-0.3199166,-0.10403301,-0.31317708,-0.025784366,0.5256229,-0.32994184,-0.33843377,0.09820035,-0.48304155,0.21044151,0.10718623,0.04952282,-0.386351,-0.69796795,0.07920849,0.03288602,-0.13718328,0.098953076,0.22474155,0.19361787,0.099716745,-0.44133908,0.12623978,-0.026364127,-0.10880865,-0.008987992,0.12528412,0.1996238,-0.10791875,-0.023569487,-0.09167895,0.05562993,0.36203688,0.07968344,-0.05057886,-0.116608456,0.009313701,-0.029535905,0.032041065,-0.07542054,0.36566904,0.023354925,0.08779995,0.44396675,-0.2848212,-0.55257046,0.18897049,-0.035228275,0.22607303,-0.6499548,0.005032768,0.03466167,0.0768629,0.19842125,-0.13483611,0.027976178,0.13628627,-0.19418955,0.49606797,-0.07576385,0.16254954,0.014451127,0.55393654,0.06929376,-0.007018546,-0.044302925,0.00039455644,-0.17705287,-0.22781476,0.06547997,0.40538436,0.12574694,-0.78428745,-0.028818723,-0.11665525,-0.046356324,0.59979093,-0.042532798,-0.16878177,-0.04620077,0.11027895,0.03331568,-0.029967917,0.24980119,-0.059942357,-0.34526134,-0.19026886,-0.006090913
-0.058119386,-0.066762865,0.29460096,0.10807308,-0.09205135,-0.25490984,-0.023066666,0.11710479,-0.14559089,0.03680962,-0.28661168,0.05079272,-0.013990962,0.0071313162,0.102005355,-0.1043136,0.37029678,0.06023451,-0.086600974,-0.4753952,-0.23444206,-0.26053056,-0.27393848,-0.0044648605,-0.04697336,-0.35082248,-0.038178045,-0.14196013,0.08463924,0.23805358,0.019385368,0.030606396,0.06989827,0.00048845226,0.36559135,-0.123629674,0.003011767,-0.39812425,-0.7262944,-0.1771446,0.0013041698,0.14870188,-0.04286622,0.18797724,-0.60669047,0.10140264,0.12219172,-0.0603332,0.33615053,-0.067572504,-0.25943294,0.17099339,0.16457927,0.13627328,-0.20543972,-0.10289753,0.07679336,-0.11860069,-0.13079678,-0.07105629,-0.1408912,0.20456481,0.009608945,0.15955737,0.24035911,0.14611362,0.28145474,0.06671383,0.3543148,0.08526226,0.19235703,-0.084759876,-0.051329464,-0.17448552,-0.09278377,0.13642202,-0.042378042,-0.029248143,0.19143128,0.045999236,-0.51777256,-0.027095616,-0.021806765,-0.041355975,0.15847549,0.48508134,0.065969475,-0.019795224,0.2107254,0.4716583,0.05433172,0.19220984,-0.07953046,-0.122379065,0.43877488,-0.35255507,-0.07035638,0.07176874,-0.26792064,0.21631165,0.0034378807,-0.08816388,-0.33110967,-0.12399498,-0.010744643,0.02153893,-0.22173382,-0.065936185,0.12143729,-0.23718008,-0.3522271,0.19674751,0.4792947,0.006745401,0.24524674,-0.040141646,-0.48868787,-0.14287765,-0.12175673,0.087102875,-0.15015993,-0.014473073,0.179796,-0.2655608,-0.049703546,0.16602507,0.20188038,-0.07347244
-0.21841693,0.018487904,-0.61617625,-0.14012618,-0.25212836,-0.093429275,0.06366805,0.18236661,0.044820454,0.019350149,-0.16638264,0.10759688,0.0734288,-0.040987607,-0.03814436,-0.26411068,-0.58448184,0.068399996,0.21566024,0.073663615,0.075102516,-0.18416359,-0.14392634,-0.0035252029,-0.032766484,0.54313254,0.058501147,-0.018828372,0.0044341832,-0.3092425,-0.05402041,-0.15998304,-0.10011445,-0.00091477565,-0.22538587,0.15559952,0.19993758,0.08689047,0.58778816,-0.13128577,-0.07502529,-0.011536948,0.041462593,0.24376786,-0.089574024,0.090892024,-0.05021295,-0.13533463,0.30222964,-0.089393966,-0.09425513,0.15882778,-0.06734707,-0.09002394,0.042773563,-0.09303653,-0.101465166,0.11987721,-0.10035446,-0.15324154,-0.04348278,-0.12634446,-0.001683402,-0.15097344,-0.0669478,0.1290835,0.29473957,-0.06857665,0.06038686,-0.28458336,-0.103821196,0.08780735,-0.058181483,-0.14716227,0.20473334,0.063851245,-0.00843821,0.0032927282,-0.14581548,0.09205715,-0.3836984,-0.06767517,0.029145045,0.24904433,-0.21001185,-0.09210213,0.24309462,-0.057909694,0.12130603,-0.08194092,-0.002896234,-0.1683569,-0.07334177,-0.058453653,-0.05944708,-0.3362027,0.09089183,-0.15000086,0.0728035,0.0733385,-0.1750188,-0.24944118,0.20760109,-0.06904574,0.1986071,-0.10313408,-0.30723473,0.005725426,0.15758783,-0.045577887,-0.34637487,-0.08571324,0.28750533,-0.08762966,0.3284564,-0.110133,0.341051,-0.26090866,0.042778753,0.3015859,-0.1616521,0.23192765,0.0114682885,-0.14990704,0.14370541,0.03180809,-0.21292987,0.31049043
-0.001204491,0.068838246,0.64491177,0.0027399429,0.1142284,-0.051821016,-0.14561678,0.105023,-0.09278489,-0.14772668,-0.028095013,-0.18217324,-0.09169775,-0.37795612,-0.0685626,0.30824417,0.4931562,0.12656683,0.0035631715,-0.2174612,0.045984942,0.27604052,0.087509185,-0.20507585,-0.04720631,-0.76770294,-0.1536791,0.24229306,-0.01791487,0.09476561,0.0046634283,0.1931498,0.035046965,-0.23722754,0.33435538,-0.10294562,-0.3811333,-0.18843058,-0.9521005,-0.014031521,0.057965305,-0.13889395,-0.004301543,-0.010981952,-0.10025754,-0.0048659756,0.03534712,0.13835134,-0.362488,0.12190979,0.28126103,0.0052580936,0.37763762,0.43264872,-0.20272887,0.13348068,-0.07259013,-0.03729723,0.10831712,0.023373686,-0.29196817,-0.024968086,0.25525004,0.051999312,0.26926705,-0.2718241,-0.2897617,0.16286406,0.0066872155,0.08466359,-0.017493777,-0.20741461,-0.13068613,-0.08261755,-0.053799305,0.009509608,0.060856067,0.13833784,-0.20035692,0.06930876,0.45700645,-0.080784604,0.038309857,-0.47507685,0.20499344,-0.0021497547,-0.20517686,0.045056093,-0.04601433,0.34307027,-0.21027495,0.013784889,0.0983663,0.23625496,-0.09701652,0.19190861,-0.044670727,0.27742317,-0.3803606,0.03805931,0.05006482,0.1349097,-0.33382323,0.038407717,0.084885135,-0.18302806,0.2507449,-0.034688074,-0.09832424,-0.07943355,0.4254565,0.0010634987,0.013842473,0.2973295,-0.011857717,0.23306815,-0.34307536,0.3951166,-0.20940687,0.0061774496,0.028699208,0.09974973,0.12767264,0.07054502,0.08932196,0.08358788,0.14870237,-0.013994994
-0.027358558,0.055809535,0.57769865,-0.12225254,-0.18524991,-0.23054968,-0.024683699,-0.02827322,0.13395658,0.015278338,-0.08372024,-0.12489564,-0.010474586,-0.26129204,0.12887718,0.21157478,0.38115415,0.16795254,-0.06204791,0.080661744,-0.12517607,0.016152173,0.030195413,-0.009971499,0.11291371,-0.2778563,0.018722711,0.07121087,-0.027514568,0.11771853,-0.035400502,0.19581497,0.07264965,-0.16196437,0.021888802,-0.08754971,-0.11481855,-0.009769429,-0.5876994,0.17505334,0.1453811,-0.010538126,0.06856177,-0.05365933,0.014884167,-0.017696058,-0.037684653,-0.08537355,-0.023681073,0.09068469,0.15271941,-0.16102228,0.4151272,0.16468132,-0.0054230005,0.00033102153,0.060165737,0.028935675,0.06154891,-0.0989618,0.11691281,0.09632219,-0.03353708,0.19115743,-0.10645701,-0.0471509,-0.26694763,-0.17274268,0.045409974,-0.012164106,-0.009849072,0.027761105,-0.0047345352,-0.10713467,-0.16822493,0.057059105,0.0464133,0.10052967,-0.069848254,-0.1877202,0.37447822,0.111562304,-0.15770487,-0.1505612,0.11714362,-0.08658043,-0.31644297,0.02674448,0.021964056,0.1450764,-0.064601585,0.1943478,-0.1141222,0.1639364,0.056559175,0.22247916,-0.14129403,0.014352341,-0.3051914,0.07424172,0.0092918845,-0.055112273,-0.028874489,0.20510195,-0.11004441,-0.08924667,0.08629538,0.036227494,-0.21482639,0.061860755,0.26908723,-0.0029445488,0.04371052,0.054171026,0.024709819,0.11170802,-0.08327848,0.10050724,-0.00048513553,-0.03543697,0.22122383,-0.13236415,0.15452616,0.019499935,0.15947029,0.05220247,0.030523397,-0.25335068
0.3507483,-0.0073461686,0.2944584,-0.15813632,0.12193873,0.14895247,0.083482355,-0.094658114,-0.09676943,-0.0150868045,0.036365796,-0.22177452,-0.15528205,0.0262848,0.09270905,0.094422884,0.29027656,0.21571977,-0.28075817,0.2640395,-0.07015726,0.32858634,0.1399998,-0.11890793,0.12399531,0.03944932,0.16718984,0.2576,0.21763179,-0.0741944,0.27868938,0.054051384,0.0007697416,-0.120114386,-0.0942362,0.09243328,0.13728257,0.0785622,0.17782632,0.124996856,-0.084977545,-0.08722482,-0.19812834,-0.0812342,0.1623712,0.029966699,-0.081699766,-0.008193946,-0.20409851,-0.0778203,0.27333224,-0.2192004,0.1625959,-0.103676274,0.04191664,-0.02316408,0.04125931,0.13071546,-0.009225944,0.13279526,-0.03613753,-0.09317028,0.07314432,0.06509635,-0.08593054,-0.2680353,-0.3187964,0.20192467,-0.11237162,0.22190796,-0.12674847,-0.01867611,-0.06409111,0.17814729,-0.11834415,0.07508219,0.037545152,-0.1264361,-0.06710139,-0.11573575,0.6414459,-0.003158737,0.16905923,-0.20724267,-0.088573106,-0.16431819,-0.0142687755,0.16905296,-0.06843613,-0.42261332,-0.11711943,0.25646648,0.06843013,0.29333347,-0.026923956,0.27759525,0.19938637,0.056049526,-0.015781982,0.09112182,0.12103211,-0.06805352,0.1751083,0.0045367624,-0.08385523,-0.10393643,0.20142676,0.008213452,-0.16069053,0.19078374,0.27003434,-0.02931204,-0.21007031,-0.060662333,-0.3031121,0.042189207,0.10450547,-0.02129267,0.023156984,-0.060622755,0.08360915,0.021937793,-0.10303831,0.15174308,-0.08984818,-0.117192455,0.0783417,-0.26373172
-0.17636494,0.03996878,-0.7087486,0.0499429,-0.33453125,0.1286124,0.10337267,0.009808681,-0.19023551,-0.2729193,0.049440194,0.18845636,-0.18985325,0.39853898,0.08102902,-0.1687633,-0.70565647,0.022166926,0.20826863,0.43881541,0.25248525,0.031078523,0.20836142,0.05815346,-0.05368563,1.3140271,0.21158715,0.022660471,0.12322354,-0.19680472,-0.11821234,-0.16121645,0.08350763,-0.0020205586,-0.30099818,-0.0022677018,-0.0481856,0.18583626,0.9309019,0.21113624,0.044654258,0.12877408,0.015542829,-0.0051277303,0.5920838,0.066311106,-0.41194004,0.34031695,-0.39434186,0.01526793,0.06075696,0.13633598,-0.24258472,-0.6863808,0.12165931,0.067204475,-0.057678726,-0.057702284,0.094676346,0.19632608,-0.046054173,-0.34824112,0.0464129,-0.15440485,0.06557084,0.08390749,-0.13876468,0.12038732,-0.02678211,-0.22846009,0.028022384,0.014308077,0.06261666,-0.0941247,0.1222373,0.13779406,-0.029135782,-0.16777575,0.043203488,-0.06770873,0.24170443,0.0066191377,-0.14447242,0.23459053,-0.4756791,-0.37809774,0.0643647,-0.058003314,0.11447032,-0.8128634,0.01021056,-0.26511475,-0.06777276,-0.011450967,-0.19295071,0.03353714,0.1221513,0.045673843,0.47508636,-0.3232868,0.11596149,-0.05038512,0.5578526,0.15360816,0.10771789,-0.1738523,-0.0862337,0.056802325,0.10292398,0.03632911,0.13252272,-0.016349066,-0.7293162,-0.05832047,-0.2573928,-0.31924364,0.43234214,-0.25070754,0.089209475,0.12686755,-0.09024748,0.006178779,-0.20878528,-0.03963185,-0.096279174,-0.231052,-0.19744723,0.16845195
